GEOID,census_tract_id,neighborhood_label,centroid_lat,centroid_lon,geometry_source_note,geometry_source_path,representative_fire_name,representative_fire_lat,representative_fire_lon,distance_to_fire_km,nearest_candidate_shelter_id,nearest_candidate_shelter_name,nearest_candidate_shelter_type,nearest_candidate_shelter_distance_km,nearest_candidate_shelter_to_fire_km,nearest_transit_stop_distance_km,nearest_transit_stop_name,nearest_transit_stop_id,num_transit_stops_within_1km,num_transit_stops_within_2km,nearest_rail_station_distance_km,num_rail_stations_within_2km,transit_stop_access_group,transit_source_note,shelter_source_note,fire_distance_group,shelter_distance_group
06037206202,6037206202,Los Angeles County tract 206202,34.04673661586778,-118.24033198338384,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,11.16,CSP-05,Los Angeles Convention Center,Public convention/service facility,2.73,10.91,0.4,Little Tokyo / Arts District Station,MTP-05,1,5,0.4,5,near,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,medium,far
06037206301,6037206301,Los Angeles County tract 206301,34.04366778700015,-118.24763484671305,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,11.19,CSP-05,Los Angeles Convention Center,Public convention/service facility,2.0,10.91,0.64,Pershing Square Station,MTP-04,1,5,0.64,5,moderate,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,medium,medium
06037206302,6037206302,Los Angeles County tract 206302,34.04270075012147,-118.24565116824078,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,11.36,CSP-05,Los Angeles Convention Center,Public convention/service facility,2.16,10.91,0.83,Pershing Square Station,MTP-04,1,5,0.83,5,moderate,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,medium,medium
06037206303,6037206303,Los Angeles County tract 206303,34.04015120782575,-118.24159242770781,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,11.77,CSP-05,Los Angeles Convention Center,Public convention/service facility,2.53,10.91,1.14,Little Tokyo / Arts District Station,MTP-05,0,4,1.14,4,moderate,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,far,far
06037207304,6037207304,Los Angeles County tract 207304,34.046305825225474,-118.25150816695867,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,10.78,CSP-05,Los Angeles Convention Center,Public convention/service facility,1.73,10.91,0.27,Pershing Square Station,MTP-04,2,5,0.27,5,near,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,medium,near
06037207307,6037207307,Los Angeles County tract 207307,34.04600605888561,-118.24928108939919,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,10.89,CSP-05,Los Angeles Convention Center,Public convention/service facility,1.91,10.91,0.34,Pershing Square Station,MTP-04,2,5,0.34,5,near,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,medium,medium
06037207502,6037207502,Los Angeles County tract 207502,34.05271211619957,-118.25309695376028,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,10.07,CSP-05,Los Angeles Convention Center,Public convention/service facility,1.98,10.91,0.49,Pershing Square Station,MTP-04,2,5,0.49,5,near,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,medium,medium
06037208902,6037208902,Los Angeles County tract 208902,34.05645127193567,-118.27238486428459,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,9.14,CSP-05,Los Angeles Convention Center,Public convention/service facility,1.78,10.91,0.41,Westlake / MacArthur Park Station,MTP-07,1,4,0.41,4,near,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,near,near
06037208904,6037208904,Los Angeles County tract 208904,34.059572753474896,-118.2701044096168,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,8.85,CSP-03,Echo Park Recreation Center,Public recreation center,1.72,7.73,0.68,Westlake / MacArthur Park Station,MTP-07,1,3,0.68,3,moderate,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,near,near
06037209103,6037209103,Los Angeles County tract 209103,34.05711471683897,-118.26404197078136,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,9.26,CSP-03,Echo Park Recreation Center,Public recreation center,1.78,7.73,1.07,7th Street / Metro Center,MTP-02,0,4,1.07,4,moderate,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,near,near
06037209105,6037209105,Los Angeles County tract 209105,34.05765338033889,-118.26776176014995,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,9.11,CSP-03,Echo Park Recreation Center,Public recreation center,1.82,7.73,0.84,Westlake / MacArthur Park Station,MTP-07,1,4,0.84,4,moderate,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,near,near
06037209401,6037209401,Los Angeles County tract 209401,34.05672616719275,-118.28153742254864,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,8.96,CSP-05,Los Angeles Convention Center,Public convention/service facility,2.12,10.91,0.44,Westlake / MacArthur Park Station,MTP-07,1,2,0.44,2,near,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,near,medium
06037209402,6037209402,Los Angeles County tract 209402,34.05466697370459,-118.27723393316046,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,9.24,CSP-05,Los Angeles Convention Center,Public convention/service facility,1.73,10.91,0.26,Westlake / MacArthur Park Station,MTP-07,1,4,0.26,4,near,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,near,near
06037209403,6037209403,Los Angeles County tract 209403,34.05313752820837,-118.27385640286873,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,9.47,CSP-05,Los Angeles Convention Center,Public convention/service facility,1.45,10.91,0.51,Westlake / MacArthur Park Station,MTP-07,1,4,0.51,4,moderate,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,near,near
06037222700,6037222700,Los Angeles County tract 222700,34.02093452054566,-118.28567246422377,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,12.89,CSP-05,Los Angeles Convention Center,Public convention/service facility,2.68,10.91,0.3,Expo Park / USC Station,MTP-11,1,1,0.3,1,near,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,far,far
06037224702,6037224702,Los Angeles County tract 224702,34.02486451657633,-118.27961584045262,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,12.5,CSP-05,Los Angeles Convention Center,Public convention/service facility,2.01,10.91,0.93,Expo Park / USC Station,MTP-11,1,1,0.93,1,moderate,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,far,medium
06037242600,6037242600,Los Angeles County tract 242600,33.9323806990364,-118.25025412363526,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,23.07,CSP-05,Los Angeles Convention Center,Public convention/service facility,12.17,10.91,10.09,Expo Park / USC Station,MTP-11,0,0,10.09,0,no nearby stop,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,far,far
06037265304,6037265304,Los Angeles County tract 265304,34.067759533555325,-118.45117343452888,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,16.36,CSP-06,Westwood Recreation Center,Public recreation center,3.37,16.28,13.71,Hollywood / Western Station,MTP-10,0,0,13.71,0,no nearby stop,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,far,far
06037575803,6037575803,Los Angeles County tract 575803,33.778970552148614,-118.19372560230082,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,40.83,CSP-05,Los Angeles Convention Center,Public convention/service facility,29.92,10.91,27.92,Expo Park / USC Station,MTP-11,0,0,27.92,0,no nearby stop,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,far,far
06037980014,6037980014,Los Angeles County tract 980014,33.782562851738454,-118.23836782696706,County of Los Angeles Open Data: 2020 Census Tracts,/Users/hanna/Downloads/2020_Census_Tracts.geojson,Representative Griffith Park wildfire point,34.1366,-118.2942,39.7,CSP-05,Los Angeles Convention Center,Public convention/service facility,28.84,10.91,26.56,Expo Park / USC Station,MTP-11,0,0,26.56,0,no nearby stop,Major transit-stop proxy points; GTFS static stops.txt unavailable in this run.,Candidate public shelter/service points; not verified wildfire evacuation shelters.,far,far
